organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Dexcom,dexcom.com,https://careers.dexcom.com/careers,Pharmaceutical Companies,Pharmaceutical Companies; SuccessFactors,medium,Diabetes device; failure_reason=no_matching_roles
DHIS2,dhis2.org,https://dhis2.org,rwd_registry,Health Data Network; Health Information Management System,high,Global public-good health information management and analytics platform
DIA Invision Health,diasodey.com,https://www.diasodey.com,med_device_diagnostics,Imaging Diagnostics; Full-service outpatient radiology and imaging center,medium,Outpatient radiology and imaging center
Diagnostic BioSystems (DBS),dbiosys.com,https://dbiosys.com,med_device_diagnostics,Diagnostics; Advanced tissue diagnostics for precision healthcare,high,IHC and molecular pathology
Diagnostic Laboratory Services Inc.,dlslab.com,https://www.dlslab.com,med_device_diagnostics,Laboratory Medicine; Medical laboratory testing in Hawaii Guam and Saipan,medium,Locally owned and operated medical lab
Diamond Diagnostics,diamonddiagnostics.com,https://www.diamonddiagnostics.com,med_device_diagnostics,Diagnostics; Lab equipment manufacturer including electrolyte analyzers,high,Leading manufacturer of lab equipment
Diamond Medical Education Agency,dmea.ca,https://www.dmea.ca,medical_communications,Medical Education; Medical education agency specializing in placing dedicated applicants from Canada and United States into medical dental and pharmacy programs,medium,ZoomInfo and Instagram references - medical education agency (placement focus)
Diasorin,diasorin.com,https://int.diasorin.com,med_device_diagnostics,Diagnostics; Immunodiagnostics and molecular diagnostics solutions,high,World leader in immunodiagnostics market
DiaSys Diagnostic Systems GmbH,diasys-diagnostics.com,https://www.diasys-diagnostics.com,med_device_diagnostics,Diagnostics; Development and manufacturing of diagnostic systems,high,European diagnostics manufacturer
Dice Medical Communications,dice-comms.co.uk,https://www.dice-comms.co.uk,medical_communications,Medical Education; Successful pharmaceutical medical education agency understanding that content is king for delivery,high,Company services page - medical education agency
Digital Diagnostics,digitaldiagnostics.com,https://digitaldiagnostics.com,ai_clinical_datascience,AI-powered autonomous diagnostic solutions for diabetic eye disease; Diagnostics AI; Imaging Diagnostics; Leading AI diagnostics company transforming quality accessibility and affordability,high,FDA-authorized AI diagnostics; Formerly IDx; company homepage; page 14
Digital Health Outcomes,digitalhsa.com,https://digitalhsa.com,cro_heor_rwe,HEOR; Health economics and outcomes research,high,HEOR evaluations and real world evidence studies
Digital Wellness,digitalwellness.com,https://www.digitalwellness.com,nutrition_consumer_health,Digital wellness platform; Metabolic health behavior change,high,Built on 20+ years of research and millions of participant outcomes; focuses on helping people form habits that improve metabolic health through adherence and engagement
Discovery Life Sciences,dls.com,https://www.dls.com,pharma_biotech,Other; Mission to restore hope by speeding development of innovative diagnostics and effective treatments,medium,Life sciences services and biobanking
District 4 Public Health Georgia,district4health.org,https://www.district4health.org/about-us/careers,google_harvest,Government; Careers - District 4 Public Health,high,Official careers page for Georgia District 4 Public Health department
DLH Corporation,dlhcorp.com,https://www.dlhcorp.com/careers/,Federal Contractors,Federal Contractors; Greenhouse,medium,Fetch: HTTP Error 403: Forbidden; Greenhouse; failure_reason=fetch_failed:HTTP Error 403: Forbidden
DMS Imaging,dms-imaging.com,https://www.dms-imaging.com,med_device_diagnostics,Imaging Diagnostics; Medical imaging systems for digital radiology and bone densitometry,high,Specialized in diagnostic imaging
DNA Diagnostic,dna-diagnostic.com,https://www.dna-diagnostic.com,med_device_diagnostics,Molecular Diagnostics; Genetic and molecular diagnostic testing IVD test kits,medium,IVD test kits for chromosome translocations and PCR
DNAnexus Inc,dnanexus.com,https://www.dnanexus.com/careers,Biotech Companies,Biotech Companies; Custom; Digital Health,medium,Genomics cloud; failure_reason=no_matching_roles
Doximity,workat.doximity.com,https://workat.doximity.com/,Digital Health,Custom; Digital Health,medium,Clinician network; failure_reason=no_matching_roles
Drexel Dornsife School of Public Health,drexel.edu,https://drexel.edu/dornsife,academic,Academic Medical Centers; Drexel Dornsife School of Public Health in Philadelphia; PA; School of Public Health; University; Workday,high,"Academic employer for urban health researchers; Philadelphia public health school; SPH/Medicine; Strong urban health and health equity programs; Urban Health Collaborative, Center for Hunger-Free Communities; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found"
Duke Clinical and Translational Science Institute,ctsi.duke.edu,https://ctsi.duke.edu/career-development/clinical-research,google_harvest,Research Institute; Clinical Research Careers in North Carolina & Virginia,high,Research institute with clinical research career opportunities
Duke Clinical Research Institute,dcricollab.dcri.duke.edu,https://dcricollab.dcri.duke.edu/careers,Academic Medical Centers,Academic Medical Centers; Unknown,medium,DCRI; R19 new; failure_reason=fetch_failed:HTTP Error 404: NOT FOUND
Duke Margolis Center,healthpolicy.duke.edu,https://healthpolicy.duke.edu/careers,Academic Medical Centers,Academic Medical Centers,medium,Health policy; R20 new
Duke University Hospital,duke.edu,https://careers.duke.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
East Tennessee State University College of Public Health,etsu.edu,https://jobs.etsu.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
Eastern Research Group Inc. (ERG),erg.com,https://www.erg.com,environmental_occupational_health,Environmental Consulting Firm; Environmental Health; Federal Contractors; Occupational Health; Unknown,high,Federal health research/contractor; Fetch: HTTP Error 404: Not Found; Helps government agencies understand environmental and occupational exposures to hazards; failure_reason=fetch_failed:HTTP Error 404: Not Found; iCIMS
Economic Policy Research Institute,epri.org.za,https://epri.org.za,survey_policy_research,Policy Research; Economic policy and development research in South Africa,high,Cape Town-based economic policy research institute
ECS Federal,everforthecs.com,https://everforthecs.com/careers/,Federal Contractors,ADP; Federal Contractors,medium,ADP; failure_reason=no_matching_roles
ECS Federal Health,ecstech.com,https://ecstech.com/careers/,Federal Contractors,ADP; Federal Contractors,medium,Federal health research/contractor; failure_reason=no_matching_roles
ECU Health,ecuhealth.org,https://jobs.ecuhealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Edelman Health,edelman.com,https://www.edelman.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Edenlab,edenlab.io,https://www.edenlab.io,clinical_informatics_healthit,FHIR; FHIR-based health information exchange software development,high,HIE and FHIR software development company
Editas Medicine,editasmedicine.com,https://www.editasmedicine.com/careers/,Biotech Companies,Biotech Companies; Workable,medium,Gene editing; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Edwards Lifesciences,edwards.com,https://www.edwards.com/careers,Pharmaceutical Companies,Custom; Pharmaceutical Companies,medium,Device; failure_reason=no_matching_roles
Eisai,eisai.com,https://www.eisai.com,pharma_biotech,Human-centered pharmaceutical company focusing on areas of great medical need; Pharmaceutical; Pharmaceutical Companies; Workday,high,Oncology/neuro; Pharmaceutical company; failure_reason=fetch_failed:HTTP Error 404: Not Found
EKF Diagnostics,ekfdiagnostics.com,https://www.ekfdiagnostics.com,med_device_diagnostics,Diagnostics; Point-of-care diagnostics and biotechnology solutions,high,Global POC diagnostics leader
Eleos Health,eleos.health,https://eleos.health,digital_health,Health AI; Behavioral health AI for telemedicine and virtual care,high,Digital health AI for behavioral health providers
Elevate Healthcare Marketing,elevatehc.com,https://elevatehc.com,medical_communications,Healthcare Communications; Integrated marketing communications helping leaders in pharmaceutical biotechnology and medical device companies transform product objectives into actionable sales and marketing strategies,high,Google snippet from company page - healthcare marketing communications firm
Eli Lilly and Company,lilly.com,https://www.lilly.com,pharma_biotech,Biotech Companies; Medicine company that puts health above all; Pharmaceutical; Pharmaceutical Companies; Workday; medicines for various conditions,high,Fetch: HTTP Error 403: Forbidden; HEOR; Major pharmaceutical company; Oncology; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Elix,elix.ai,https://elix.ai,ai_clinical_datascience,AI Drug Discovery; Drug discovery collaboration with Tohoku University joint research agreement,high,Company homepage; page 14
Ellipsis Health,ellipsishealth.com,https://ellipsishealth.com,ai_clinical_datascience,Healthcare AI; AI Care Manager for emotionally intelligent care management,high,Company homepage; page 2
elmo medical,elmomedical.com,https://www.elmomedical.com,medical_communications,Medical Writing; Independent medical communications agency with firm foundation and wealth of experience in effective medical and healthcare communications,high,Company homepage - specialist medical writing and editorial services
Emergent BioSolutions,emergentbiosolutions.com,https://www.emergentbiosolutions.com,pharma_biotech,Biotechnology; Pharmaceutical Companies; Provides specialty products for civilian and military populations that address intentional and naturally emerging public health threats; Workday (embedded; blocked API),high,Public health pharma; Vaccines and biodefense company; failure_reason=no_matching_roles
Emmaus Medical Inc.,emmausmedical.com,https://www.emmausmedical.com,pharma_biotech,Biotechnology; Biopharmaceutical company engaged in developing new treatments; Emmaus Life Sciences,high,Biopharmaceutical company
Emmes Group,theemmesgroup.com,https://theemmesgroup.com,cro_heor_rwe,CRO; Native digital and AI specialty CRO,high,"Focus on biopharmaceutical, government, non-profit, academic partners"
Emory Rollins School of Public Health,emory.edu,https://jobs.emory.edu/,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Unknown; Workday,medium,Academic; Fetch: HTTP Error 404: Not Found; Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; failure_reason=fetch_failed:HTTP Error 404: Not Found; population health research
Emory University Rollins School of Public Health,sph.emory.edu,https://sph.emory.edu,academic,School of Public Health,high,Atlanta top-tier SPH
Emotive,emotiveagency.com,https://emotiveagency.com,medical_communications,Healthcare Communications; Global healthcare communications agency blending deep scientific expertise with creative brilliance to inspire change,high,Company homepage - global healthcare communications agency
Empire Center for Public Policy,empirecenter.org,https://www.empirecenter.org,consulting_federal,Policy Research; Independent non-partisan non-profit think tank in Albany New York,high,State-focused policy research organization
Encephalitis International,encephalitis.info,https://www.encephalitis.info,global_health_ngo,Infectious Disease; Brain inflammation and encephalitis advocacy and support,high,Specialized infectious disease nonprofit
Encompass Health,encompasshealth.com,https://careers.encompasshealth.com/,Hospital Systems,Hospital Systems; Workday,medium,Rehabilitation hospitals; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Endo Pharmaceuticals,endo.com,https://www.endo.com/careers,Pharmaceutical Companies,Pharmaceutical Companies; Workday,medium,Specialty pharma; failure_reason=fetch_failed:HTTP Error 404: Not Found
Engility (SAIC),saic.com,https://careers.saic.com/,Federal Contractors,Federal Contractors; Research Organizations; Workday,medium,"Federal health research/contractor; Federal research; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn; Workday; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'careers.saic.com'. (_ssl.c"
Enterprise Resource Performance Inc,erpi.com,https://www.erpi.com/careers,Federal Healthcare Contractors,Custom; Federal Contractors; Federal Healthcare Contractors,medium,Federal consulting; Federal contractor; failure_reason=fetch_failed:HTTP Error 404: Not Found
Environmental Health Consultants (EHC Impact),ehcimpact.com,https://ehcimpact.com,environmental_occupational_health,Environmental Consulting; Environmental Consulting Firm; Environmental Health,high,Also seen under domain ehcmgmt.com; Operates in regulated and compliance-driven government industrial and transportation facility environments; Regulated and compliance-driven environments consulting for government industrial and transportation facilities
Environmental Works Inc.,environmentalworks.com,https://environmentalworks.com,environmental_occupational_health,"Environmental Consulting Firm; Occupational Health, Environmental Health",high,Industrial hygiene services with certified industrial hygienists for workplace safety
Envision Pharma Group,envisionpharmagroup.com,https://www.envisionpharmagroup.com/careers/,Medical Communications,Custom; Medical Communications,medium,Medical writing/HEOR; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Enzo Life Sciences,enzo.com,https://www.enzo.com,pharma_biotech,"Other; Featured Technologies: Spatial Biology, Spatial Biology Protein Analysis, Next-Generation Fluorescent Dyes, Biomanufacturing Life Sciences Contract Services",medium,Life sciences reagents and tools supplier
Epic Systems,epic.com,https://www.epic.com,clinical_informatics_healthit,Avature; Comprehensive electronic health record software platform; Digital Health; EHR,high,EHR vendor; Major EHR vendor; failure_reason=no_matching_roles
Ergomed CRO,ergomedcro.com,https://ergomedcro.com,cro_heor_rwe,CRO; RWE; Real world evidence generation post-launch insights contract research,high,Leading CRO with clinical research focus
Essentia Health,essentiahealth.org,https://careers.essentiahealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Upper Midwest; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
European Cystic Fibrosis Society,ecfs.eu,https://pr.ecfs.eu,rwd_registry,Patient Registry; Cystic Fibrosis,high,ECFS patient registry providing population-level cystic fibrosis data
EVERSANA,eversana.com,https://www.eversana.com/careers/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Workday,medium,Commercialization/HEOR; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Everytown for Gun Safety,everytown.org,https://everytown.org,injury_safety_justice,gun violence prevention organization; firearm injury prevention; public safety advocacy,high,Largest national gun violence prevention organization; parent entity of Everytown Research & Policy
Everytown Research & Policy,everytownresearch.org,https://everytownresearch.org,injury_safety_justice,policy research organization; gun violence prevention research; firearm injury prevention,high,Research and policy arm of Everytown focused on gun violence prevention evidence
Evidation,evidation.com,https://evidation.com/careers,Digital Health,Digital Health; Greenhouse,medium,Digital health/RWE; Digital measures/RWE; failure_reason=no_matching_roles
Evidence for Action RWJF,rwjf.org,https://www.rwjf.org/en/careers.html,Government / Public Health,Government; Public Health; Research Organizations; Workday,medium,Health research funding; Public health foundation; Public health research/policy; failure_reason=fetch_failed:HTTP Error 404: Not Found
Evidera HEOR,evidera.com,https://www.evidera.com/careers/,HEOR Consulting,HEOR Consulting; Workday,medium,HEOR consulting; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Exact Sciences Corp,exactsciences.com,https://careers.exactsciences.com/,Biotech Companies,Biotech Companies; Digital Health,medium,Diagnostics data; Diagnostics/oncology
Excellus Health Plan Research,excellusbcbs.com,https://www.excellusbcbs.com/careers,Government / Public Health,Government; Public Health; Unknown,medium,Health plan research; R20 new; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>
Exelixis,exelixis.com,https://www.exelixis.com/careers/,Biotech Companies,Biotech Companies; Unknown,medium,Oncology; failure_reason=fetch_failed:HTTP Error 403: Forbidden
EY Government Health,ey.com,https://careers.ey.com/,org_harvest,Consulting; Federal Contractors; Healthcare industry insights; Research Organizations; Workday,medium,Big 4 consulting with healthcare and life sciences practice; Federal health research/contractor; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; Healthcare consulting practice; Life sciences and healthcare strategy; Life sciences consulting; R20 new; Workday; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Fabric Health,fabrichealth.com,https://www.fabrichealth.com,ai_clinical_datascience,Healthcare AI; Healthcare experience optimization - acquired conversational AI care assistant GYANT,high,Company homepage; page 5
Fallon Health,fallonhealth.org,https://www.fallonhealth.org,payer_vbc,Health Insurance; Medicare older adults individuals families MassHealth,high,Massachusetts health plan
Families USA,familiesusa.org,https://www.familiesusa.org/about/careers/,Government / Public Health,Government / Public Health,medium,Consumer health advocacy
Fearless,fearless.tech,https://fearless.tech/careers,Federal Contractors,Federal Contractors; Greenhouse; Greenhouse (embedded),medium,Also seen under domain fearless.com; Federal digital services; Federal health research/contractor; failure_reason=no_matching_roles
Feinstein Institutes for Medical Research,northwell.edu,https://feinstein.northwell.edu,hospital_system,Hospital System; Hospital Systems; Northwell Health; Research Institute,high,Large integrated health system with research institute; Large integrated health system with research programs; Largest NY health system; Northwell Health research arm; Research institute and population health management; Tri-state NY health system with top-rated hospitals
Fingerpaint Group,fingerpaint.com,https://www.fingerpaint.com/medical-affairs,medical_communications,Jobvite; Medical Communications; Scientific communications agency offering medical communications services,high,Company homepage - clearly medical affairs and scientific communications agency; failure_reason=no_matching_roles
Finn Partners Health,finnpartners.com,https://www.finnpartners.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical/scientific communications; failure_reason=no_matching_roles
Firefly Health,fireflyhealth.com,https://www.fireflyhealth.com/careers?redirected=true,Digital Health,Digital Health; Workable,medium,Virtual primary care; failure_reason=no_matching_roles
Fishawack Health,fishawack.com,https://www.fishawack.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical communications; Medical/scientific communications; failure_reason=no_matching_roles
Flatiron Health,flatiron.com,https://flatiron.com,cro_heor_rwe,Consulting; Digital Health; Greenhouse; HEOR; RWE; Real-world evidence in oncology,high,Digital health/RWE; Oncology RWD; Oncology RWE; RWE in oncology HTA and market access; failure_reason=no_matching_roles
Florida Atlantic University College of Medicine,fau.edu,https://fau.edu/jobs/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Florida Department of Health,peoplefirst.myflorida.com,https://peoplefirst.myflorida.com/,Government / Public Health,Government; PeopleFirst; Public Health,medium,State public health; failure_reason=fetch_failed:The read operation timed out
Florida HIE Services,florida-hie.net,https://www.florida-hie.net,clinical_informatics_healthit,HIE; Florida health information exchange for statewide clinical data sharing,high,State-level HIE organization
Florida International University Stempel College of Public Health,hr.fiu.edu,https://hr.fiu.edu/careers/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Flushing Hospital Medical Center,flushinghospital.org,https://www.flushinghospital.org,hospital_system,Regional Health System,high,Queens NY community hospital serving since 1884
Fogarty International Center,fic.nih.gov,https://www.fic.nih.gov,global_health_ngo,International Research; NIH global health research and capacity building,high,US NIH global health research center
Food Allergy Research & Education,foodallergy.org,https://www.foodallergy.org/elevating-research/fare-patient-registry,rwd_registry,Patient Registry; Food Allergies,high,FARE Patient Registry for food allergy research
Food and Agricultural Policy Research Institute,fapri.missouri.edu,https://fapri.missouri.edu,survey_policy_research,Policy Research; Food and agricultural policy research,high,University of Missouri policy research institute
FORCE Medical Communications,forcemed.com,https://forcemed.com,medical_communications,Medical Communications; Medical communications agency working for pharmaceutical device and medical leaders,medium,Google snippet - medical communications agency
Foreign Policy Research Institute,fpri.org,https://www.fpri.org,survey_policy_research,Policy Research; Foreign policy and national security,high,American think tank based in Philadelphia
Forensic Analytical Consulting Services (FACS),facs.com,https://facs.com,environmental_occupational_health,"Environmental Consulting Firm; Occupational Health, Environmental Health",high,Certified industrial hygienist consulting and indoor environmental quality assessment
Foresight Diagnostics,foresight-dx.com,https://foresight-dx.com,med_device_diagnostics,Molecular Diagnostics; Ultra-sensitive cancer diagnostic tests using precision genomics,high,Liquid biopsy for cancer monitoring
Fors Marsh Group Federal,forsmarsh.com,https://www.forsmarsh.com/,Federal Contractors,Custom; Federal Contractors; Research Organizations,medium,Federal health research/contractor; Paylocity; failure_reason=no_matching_roles
Forum Systems,forumsys.com,https://www.forumsys.com,clinical_informatics_healthit,Interoperability; Modern health information exchange and secure electronic patient data transmission,high,Healthcare interoperability and API security vendor
