organization,domain,visible_url,primary_category,secondary_categories,confidence,source_file,source_branch,notes
Baylor University Public Health,baylor.edu,https://jobs.baylor.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Baylor University Robbins College of Health & Human Sciences,robbins.baylor.edu,https://robbins.baylor.edu,org_harvest,University; Robbins College of Health & Human Sciences,medium,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Public health and health sciences programs; Academic health sciences college; Health and human sciences programs at Baylor University
Baystate Health,baystatehealth.org,https://www.baystatehealth.org,hospital_system,Hospital System,high,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Massachusetts regional health system and academic medical center
BCBSA,bcbs.com,https://www.bcbs.com/careers,Government / Public Health,Government; Public Health; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 308: Permanent Redirect; Payer policy; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect
Beacon Health System,beaconhealthsystem.org,https://www.beaconhealthsystem.org,hospital_system,Regional Health System,high,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Indiana regional health system including Memorial Hospital of South Bend
Beam Therapeutics,beamtx.com,https://beamtx.com/careers/,Biotech Companies,Biotech Companies; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Gene editing; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Becton Dickinson (BD),bd.com,https://www.bd.com,med_device_diagnostics,BD: Advancing the World of Health; Medical Device; Medical technology company for medication management and diagnostics; Search Health Economics & Outcomes Research Jobs,high,career_google_harvest.csv; career_universe_org_harvest.csv; med_device_diagnostics_universe.csv,cursor/google-career-harvest-faa3; cursor/med-device-diagnostics-universe-e384; cursor/org-universe-harvest-faa3,"Clinical affairs and device epidemiology; Major global medical technology company; Medical device company with HEOR career opportunities; Medical technology company; Medical technology company for devices, diagnostics, and medication delivery"
Bedrock Healthcare Communications,bedrock-health.com,https://bedrock-health.com/what,medical_communications,Medical Education; Creative medical education communications that inspire engage and drive impact partnering with medical affairs teams healthcare professionals and patients,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company services page - creative medical education
Begun Center for Violence Prevention Research and Education | Case Western Reserve University,case.edu,https://case.edu/socialwork/begun,injury_safety_justice,Academic Medical Centers; Hospital Systems; Workday; criminal justice; trauma-informed practices; university research center; violence prevention research,high,employer_database_master.csv; injury_safety_justice_universe.csv; phase3c_browser_queue_20260620.json,cursor/injury-safety-justice-universe-a058; main (phase3c_sync_minimum.zip),Hospital/cancer center; Mandel School research center for violence prevention research and education; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found; population health research
Benaroya Research Institute,benaroyaresearch.org,https://www.benaroyaresearch.org,academic,Research Institute,high,academic_employer_universe.csv,cursor/academic-employer-discovery-0c53,Seattle immune system research
Beth Israel Deaconess Medical Center,bidmc.org,https://www.bidmc.org,academic,Academic Medical Center,high,academic_employer_universe.csv,cursor/academic-employer-discovery-0c53,Harvard teaching hospital Boston
Beth Israel Lahey Health,bilh.org,https://www.bilh.org,google_harvest,Beth Israel Lahey Health: Home; Clinical Research; Hospital System; Hospital Systems; Medical; Workday,high,career_google_harvest.csv; career_universe_org_harvest.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/google-career-harvest-faa3; cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),Academic health system with population health and digital health; Hospital system with clinical research career opportunities; Integrated Massachusetts health system; Massachusetts system; Population health and pharmacy services; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Better Medicare Alliance,bettermedicarealliance.org,https://bettermedicarealliance.org,payer_vbc,Medicare Advantage; Population health management and value-based care advocacy,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,Medicare Advantage advocacy organization
BetterHelp,betterhelp.com,https://www.betterhelp.com/careers/,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Therapy platform
BioBridges,biobridges.com,https://www.biobridges.com/careers,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical affairs consulting; R19 new; failure_reason=fetch_failed:HTTP Error 403: Forbidden
BioCryst Pharmaceuticals,biocryst.com,https://www.biocryst.com/careers/,Biotech Companies,Biotech Companies; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Rare disease; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Biodesix,biodesix.com,https://www.biodesix.com,med_device_diagnostics,Molecular Diagnostics; Personalized diagnostic testing and development services,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Personalized diagnostics that are timely and accessible
Biofourmis,biofourmis.com,https://www.biofourmis.com/careers,Digital Health,Consulting; Digital Health; Greenhouse; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Digital health/RWE; Digital therapeutics/RWE; HEOR/RWE/epi consulting; failure_reason=fetch_failed:HTTP Error 404: Not Found
Biogen,biogen.com:443,https://www.biogen.com:443/careers.html,Biotech Companies,Biotech Companies,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Also seen under domain biogen.com; HEOR
BioMarin Pharmaceutical,biomarin.com,https://www.biomarin.com,pharma_biotech,Biotech Companies; Biotechnology; Jobvite; Leading global rare disease biotechnology company focused on delivering medicines for people living with genetically defined rare diseases,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),Rare disease; Rare disease biotech; failure_reason=no_matching_roles
bioMérieux,biomerieux.com,https://www.biomerieux.com,med_device_diagnostics,Diagnostics; In vitro diagnostic solutions and Life Cycle Assessments,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Global leader in microbiology diagnostics
Bionetwork Consulting,bionetworkconsulting.com,https://bionetworkconsulting.com,survey_policy_research,Statistical Consulting; Medical statistics and clinical data consulting for life sciences,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Statistical consulting firm for pharma biotech and clinical research
BioNTech,biontech.com,https://www.biontech.com/careers.html,Biotech Companies,Biotech Companies; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Biotech; Fetch: HTTP Error 404: Not Found; Pharma RWE; R19 new; failure_reason=fetch_failed:HTTP Error 404: Not Found
BioPharm Communications,biopharmcommunications.com,https://www.biopharmcommunications.com/careers,Medical Communications,Custom; Medical Communications,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 404: Not Found
BioScience Communications,biosciencecommunications.com,https://www.biosciencecommunications.com/careers,Medical Communications,Custom; Medical Communications,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical writing; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Bioscript Group,bioscriptgroup.com,https://bioscriptgroup.com,medical_communications,Scientific Communications; Scientific communications agency providing medical communications market access consulting and regulatory writing support,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company homepage - scientific communications agency
Bixal,bixal.com,https://careers.bixal.com/,Federal Contractors,Custom; Federal Contractors,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal digital health; Federal health research/contractor; failure_reason=no_matching_roles
BJC HealthCare,bjc.org,https://jobs.bjc.org/,Hospital Systems,Hospital Systems,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Hospital system; St. Louis AMC; St. Louis academic system
Blood Cancer United,bloodcancerunited.org,https://bloodcancerunited.org/resources/patients/registry,rwd_registry,Patient Registry; Blood Cancer,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,National patient registry for blood cancer research
Bloomberg Philanthropies,bloomberg.org,https://www.bloomberg.org/public-health,org_harvest,Nonprofit; Strengthening Health Data,medium,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Global health data and tobacco control; Major public health funder supporting data-driven health initiatives; Data for health partners with low- and middle-income countries
Blue Fin Group,bluefingroup.com,https://www.bluefingroup.com/careers/,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR/market access; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Blue Health Intelligence,bluehealthintelligence.com,https://www.bluehealthintelligence.com/careers,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Payer analytics; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Blue Matter Consulting,bluematterconsulting.com,https://bluematterconsulting.com/careers/,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR strategy; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Bluebird Bio,bluebirdbio.com,https://www.bluebirdbio.com/careers,Biotech Companies,Biotech Companies; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 404: Not Found; Gene therapy; failure_reason=fetch_failed:HTTP Error 404: Not Found
BluePath Solutions HEOR,bluepathsolutions.com,https://www.bluepathsolutions.com/careers,HEOR Consulting,HEOR Consulting,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),HEOR consulting
Boehringer Ingelheim,boehringer-ingelheim.com,https://www.boehringer-ingelheim.com,pharma_biotech,Changing life for the better for people and animals; Pharmaceutical; Pharmaceutical Companies; Unknown,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),Fetch: HTTP Error 403: Forbidden; HEOR; Major pharmaceutical company; failure_reason=fetch_failed:HTTP Error 403: Forbidden
BOLDSCIENCE,boldsci.com,https://www.boldsci.com,medical_communications,Medical Communications; Full-service medical communications agency part of Co:Lab Global branded suite and Assembled Intelligence platform,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company homepage - global medical communications agency
Bon Secours Mercy Health,bonsecours.com,https://careers.bonsecours.com/us/en,Hospital Systems,Hospital Systems; Phenom,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Multi-state Catholic system; failure_reason=no_matching_roles
Booz Allen Hamilton Inc,boozallen.com,https://careers.boozallen.com/,Federal Contractors,Federal Contractors,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Federal health research/contractor; Workday
Border Policy Research Institute,bpri.wwu.edu,https://bpri.wwu.edu,survey_policy_research,Policy Research; Multidisciplinary border policy research,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Western Washington University policy research institute
Boston Children's Hospital,childrenshospital.org,https://www.childrenshospital.org,hospital_system,Children's Hospital; Hospital Systems; Workday,high,employer_database_master.csv; hospital_system_universe.csv; phase3c_browser_queue_20260620.json,cursor/hospital-discovery-agent-b-d6aa; main (phase3c_sync_minimum.zip),Major academic children's hospital focused on improving health and well-being; Pediatric AMC; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Boston Consulting Group,bcg.com,https://www.bcg.com/public-sector,consulting_federal,Public Sector Consulting; Public sector consulting and strategy,high,consulting_federal_universe.csv,cursor/consulting-federal-universe-0daa,Major consulting firm with government practice
Boston Medical Center,bmc.org,https://www.bmc.org,hospital_system,Academic Hospital,high,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Population Health team focused on community care
Boston Public Health Commission,bphc.org,https://www.bphc.org/about/careers,Government / Public Health,Custom; Government; Public Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Municipal public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
Boston Scientific,bostonscientific.com,https://jobs.bostonscientific.com/health-economics-and-reimbursement,google_harvest,Health Economics & Reimbursement Jobs; Medical Device; Pharmaceutical Companies,high,career_google_harvest.csv; employer_database_master.csv,cursor/google-career-harvest-faa3; main (phase3c_sync_minimum.zip),Device HEOR; Medical device company with health economics career opportunities
Boston Strategic Partners,bostonsp.com,https://bostonsp.com/index.php/what-we-do/medical-and-technical-communications/,medical_communications,Medical Communications; Medical and technical communications including journal publications conference posters and literature reviews,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company services page - medical and technical communications agency
Boston University School of Public Health,bu.edu,https://www.bu.edu/sph,academic,Academic Medical Centers; Epidemiology Careers | SPH; School of Public Health; University,high,academic_employer_universe.csv; career_google_harvest.csv; employer_database_master.csv,cursor/academic-employer-discovery-0c53; cursor/google-career-harvest-faa3; main (phase3c_sync_minimum.zip),Academic; Boston University School of Public Health career opportunities; Urban public health school
Bounce Medical Communications,bouncemedicalcommunications.com,https://www.bouncemedicalcommunications.com,medical_communications,Medical Affairs Strategy; Outcomes-led medical affairs agency experts in scientific engagement and medical communications agency in London,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Google snippet - London-based international medical communications agency
Bracco,bracco.com,https://www.bracco.com,med_device_diagnostics,Imaging Diagnostics; Contrast imaging and diagnostic imaging solutions for healthcare,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Leading provider of diagnostic imaging agents
BresMed,bresmed.com,https://www.bresmed.com/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR/market access; failure_reason=fetch_failed:<urlopen error [Errno 111] Connection refused>
Bridge to Treatment,bridgetotreatment.org,https://www.bridgetotreatment.org,behavioral_mental_health,Substance use treatment organization; Opioid use disorder treatment and medication-assisted treatment,high,behavioral_mental_health_universe.csv,cursor/behavioral-mental-health-discovery-b6f4,Organization providing substance use disorder treatment services
BridgeBio Pharma,bridgebio.com,https://bridgebio.com/careers,Biotech Companies,Biotech Companies; Greenhouse,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Biotech; failure_reason=no_matching_roles
Brigham Research Institute,brighamandwomens.org,https://www.brighamandwomens.org/about-bwh/careers,Academic Medical Centers,Academic Medical Centers,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Academic
Bright Health,brighthealthcare.com,https://www.brighthealthcare.com/careers,Digital Health,Digital Health; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 530: <none>; Health plans; failure_reason=fetch_failed:HTTP Error 530: <none>
Brightside Health,brightside.com,https://www.brightside.com/careers/,Digital Health,Digital Health; Greenhouse,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Mental health; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Bristol Myers Squibb,bms.com,https://www.bms.com,digital_health,Biotech Companies; Bristol Myers Squibb; Global biopharmaceutical company discovering; Other; Pharmaceutical; Pharmaceutical Companies; Pharmaceutical precision medicine and oncology; developing and delivering innovative medicines for serious diseases,high,career_universe_org_harvest.csv; digital_health_universe.csv; employer_database_master.csv; pharma_biotech_universe.csv,cursor/digital-health-universe-discovery-c955; cursor/org-universe-harvest-faa3; cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),HEOR; Large clinical development and HEOR organizations; Major pharmaceutical company; Major pharmaceutical company with clinical development and medical affairs; Neuropsychiatry; Oncology; Pharma with precision medicine portfolio
Broad Institute,broadinstitute.org,https://www.broadinstitute.org/careers,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Genomics research institute; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Broadstreet HEOR,broadstreetheor.com,https://www.broadstreetheor.com/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR boutique; failure_reason=fetch_failed:HTTP Error 404: Not Found
Brookings Institution Health,brookings.edu,https://www.brookings.edu/careers/,Government / Public Health,Government; Public Health; Research Organizations; iCIMS,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Public health research/policy; Think tank; failure_reason=no_matching_roles
Brown University School of Public Health,sph.brown.edu,https://sph.brown.edu,academic,Academic Medical Centers; Custom; School of Public Health,high,academic_employer_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; main (phase3c_sync_minimum.zip),Academic; Also seen under domain hr.brown.edu; Ivy League public health; failure_reason=no_matching_roles
C2N Diagnostics,c2n.com,https://c2n.com,med_device_diagnostics,Diagnostics; Blood tests for Alzheimer's disease diagnostics,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Specialty diagnostics for neurodegenerative diseases
CABI,cabi.org,https://www.cabi.org,global_health_ngo,International Research; Agriculture environment and global health information,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,Intergovernmental development and health information NGO
CACI Federal Health,caci.com,https://careers.caci.com/,Federal Contractors,Eightfold; Federal Contractors,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; failure_reason=no_matching_roles; iCIMS
Cactus Life Sciences,cactuslifesciences.com,https://cactuslifesciences.com/tag/publication-strategy,medical_communications,Custom; Medical Communications; Publication Planning; Publication strategy services for medical and scientific content,medium,employer_database_master.csv; medical_communications_universe.csv; phase3c_browser_queue_20260620.json,cursor/medical-communications-discovery-87dc; main (phase3c_sync_minimum.zip),Also seen under domain cactusglobal.com; Company tag page - publication strategy focus; Medical writing; R20 new; failure_reason=no_matching_roles
CAI Global,caiglobal.org,https://caiglobal.org,behavioral_mental_health,Behavioral health company / Health systems organization; Health system projects including trauma-informed behavioral health initiatives,medium,behavioral_mental_health_universe.csv,cursor/behavioral-mental-health-discovery-b6f4,Project-based health systems organization with behavioral health focus
CalAIM Population Health Management Initiative,dhcs.ca.gov,https://www.dhcs.ca.gov,payer_vbc,Population Health; California PHM program for Medi-Cal Managed Care Plans,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,State population health management program
California Department of Health,ca.gov,https://jobs.ca.gov/,Government / Public Health,Government; Public Health; USAJobs,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=no_matching_roles
California State University Long Beach Health Science,csulb.edu,https://www.csulb.edu/careers,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 403: Forbidden
California State University Northridge Health Sciences,csun.edu,https://www.csun.edu/careers,Academic Medical Centers,Academic Medical Centers,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),SPH/Medicine; adjunct/epi potential
Calveint,calveint.com,https://calveint.com,ai_clinical_datascience,Healthcare AI; Intelligent document processing AI Fax and agentic AI workflows,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 15
Cambridge Health Alliance,challiance.org,https://www.challiance.org,hospital_system,Regional Health System,high,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Massachusetts public teaching hospital system with population health management focus
Camden Coalition,camdenhealth.org,https://camdenhealth.org/work/health-information-exchange,clinical_informatics_healthit,General; HIE; Health Information Exchange; Health information exchange and care coordination for complex patients,high,clinical_informatics_healthit_universe.csv; real_world_data_registry_universe.csv,cursor/clinical-informatics-healthit-universe-78ec; cursor/rwd-registry-universe-b89c,Community-based HIE and care management organization; Regional health information exchange providing real-time data for care coordination
Campbell Collaboration,campbellcollaboration.org,https://www.campbellcollaboration.org/about-us/employment,Government / Public Health,Custom; Government; Public Health; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Public health research/policy; Systematic reviews; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Canadian Institute for Health Information,cihi.ca,https://www.cihi.ca,rwd_registry,Health Data Network; Canadian Health Systems Data,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,National source for Canadian health systems and population health data
Candid,candid.org,https://candid.org,org_harvest,"Nonprofit; Candid: Research nonprofits, funders, and grants",medium,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,"Merger of Foundation Center and GuideStar; Nonprofit data and research organization; Connect with funders, explore foundation grants, 1.9M organization profiles"
Capgemini Invent Health,capgemini.com,https://www.capgemini.com/careers/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Workday (embedded; blocked API),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Healthcare consulting; failure_reason=no_matching_roles
Carbon Health,carbonhealth.com,https://carbonhealth.com/careers,Digital Health,Custom; Digital Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Hybrid clinics; failure_reason=no_matching_roles
Cardinal Health,cardinalhealth.com,https://www.cardinalhealth.com,cro_heor_rwe,RWE; RWE strategy consulting patient-reported outcomes physician-led chart review,high,cro_heor_rwe_universe.csv,cursor/cro-heor-rwe-discovery-307f,RWE solutions and consulting
CARE,care.org,https://www.care.org,global_health_ngo,International NGO; International humanitarian and development poverty relief,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,International humanitarian and development NGO
Care New England Health System,carenewengland.org,https://www.carenewengland.org,hospital_system,Hospital System,high,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Rhode Island integrated health system
Carelon Research,carelonresearch.com,https://www.carelonresearch.com,digital_health,Healthcare Analytics; Real-world evidence and healthcare research analytics,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Elevance Health research subsidiary
Carenostics,carenostics.com,https://www.carenostics.com,ai_clinical_datascience,Healthcare AI; Chronic disease management - undertreated chronic disease focus,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; $5M funding noted in SERP; page 11
Caris Life Sciences,carislifesciences.com,https://www.carislifesciences.com,pharma_biotech,"Diagnostics; Fulfills promise of precision oncology through advanced laboratory testing, tumor profiling and blood-based cancer diagnostics",high,pharma_biotech_universe.csv,cursor/pharma-biotech-universe-bfec,Precision oncology and diagnostics company
Carrum Health,carrumhealth.com,https://carrumhealth.com/careers/,Digital Health,Custom; Digital Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Surgery centers of excellence; failure_reason=no_matching_roles
Castlight Apree,apreehealth.com,https://www.apreehealth.com/careers,Digital Health,Digital Health; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Digital health/RWE; Health navigation; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Castor,castoredc.com,https://www.castoredc.com,rwd_registry,Evidence Generation; eClinical Data Management,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,RWE platform and patient registry for observational study methods
CDC Foundation,cdcfoundation.org,https://www.cdcfoundation.org/careers,Research Organizations,Lever; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Public health programs; failure_reason=fetch_failed:HTTP Error 404: Not Found
CDPHP,cdphp.com,https://www.cdphp.com,org_harvest,Insurance; CDPHP | Affordable NY Health Insurance,medium,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Employs health analysts and population health managers; Regional health plan; Not-for-profit health insurance plan in New York
Cedar,cedar.com,https://www.cedar.com/careers/,Digital Health,Digital Health; Greenhouse (embedded),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Digital health/RWE; Healthcare billing/patient engagement; failure_reason=no_matching_roles
Cedars-Sinai,cedars-sinai.edu,https://www.cedars-sinai.edu,hospital_system,Academic Hospital; Academic Medical Center; Academic Medical Centers; Cedars-Sinai: A Nonprofit Hospital in Los Angeles; Unknown,high,career_universe_org_harvest.csv; employer_database_master.csv; hospital_system_universe.csv; phase3c_browser_queue_20260620.json,cursor/hospital-discovery-agent-b-d6aa; cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),Academic; Academic medical center employing clinical researchers; Also seen under domain cedars-sinai.org; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; Independent academic medical center in Los Angeles; Los Angeles academic medical center; Major academic medical center with biomedical research programs; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
CellCarta,cellcarta.com,https://cellcarta.com,med_device_diagnostics,Diagnostics; Companion diagnostic and CDx services,medium,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Biomarker and companion diagnostics CRO
Cencora,cencora.com,https://www.cencora.com/commercialization-support,cro_heor_rwe,Consulting; HEOR; Health economics outcomes research market access regulatory affairs; Market Access; Phenom; RWE,high,cro_heor_rwe_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/cro-heor-rwe-discovery-307f; main (phase3c_sync_minimum.zip),Commercialization support including HEOR; Regulatory/HEOR; failure_reason=no_matching_roles
Center for Firearm Injury Prevention | University of Washington,cfip.uw.edu,https://cfip.uw.edu,injury_safety_justice,university research center; firearm injury prevention,high,injury_safety_justice_universe.csv,cursor/injury-safety-justice-universe-a058,UW Medicine center focused on equitable programs and policies to prevent firearm-related harm
Center for Health Care Strategies,chcs.org,https://www.chcs.org/about/careers/,Government / Public Health,Custom; Government; Public Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medicaid policy nonprofit; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Center for Injury Research and Prevention (CIRP) | Children's Hospital of Philadelphia,injury.research.chop.edu,https://injury.research.chop.edu,injury_safety_justice,pediatric research center; injury prevention; trauma; violence prevention,high,injury_safety_justice_universe.csv,cursor/injury-safety-justice-universe-a058,Independent pediatric injury and violence prevention research center at CHOP
Center for Occupational and Environmental Health (COEH) - UC Berkeley,coeh.berkeley.edu,https://www.coeh.berkeley.edu,environmental_occupational_health,"Academic Research Center; Occupational Health, Environmental Health",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Professional resources center; includes Board for Global EHS Credentialing (BGCE)
Center for Violence Prevention Research,scienceofviolence.org,https://www.scienceofviolence.org,injury_safety_justice,research center; violence prevention research,high,injury_safety_justice_universe.csv,cursor/injury-safety-justice-universe-a058,Independent research center focused on science-backed violence prevention solutions
Center on Budget and Policy Priorities,cbpp.org,https://www.cbpp.org/careers,Government / Public Health,Government; Public Health; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 403: Forbidden; Medicaid policy; failure_reason=fetch_failed:HTTP Error 403: Forbidden
CentraCare Health System,centracare.com,https://www.centracare.com,hospital_system,Hospital System,medium,hospital_system_universe.csv,cursor/hospital-discovery-agent-b-d6aa,Major regional health system in Minnesota identified via research profile
